Round,Question,Answer,T_Start,T_ASR_Start,T_ASR_End,T_LLM_Start,T_LLM_End,T_TTS_Start,T_End,L_E2E,L_ASR,L_LLM,L_TTS,TTFT,Latency_Bin
1,今天周几？,我是机器人，目前无法识别出当前的日期，因此无法确定今天的具体日期。,1774599617.8995893,1774599622.9271984,1774599624.199252,1774599624.1994762,1774599629.8629513,1774599629.8631144,1774599640.2637334,22364.14408683777,6299.6625900268555,5663.475036621094,10400.61902999878,5663.475036621094,15-30s (较慢)
2,请只回答收到这两个字。,没有具体信息可作出反应。,1774599642.5650706,1774599647.5921926,1774599648.881662,1774599648.881867,1774599650.7016294,1774599650.7017782,1774599655.0025153,12437.444686889648,6316.591262817383,1819.7624683380127,4300.737142562866,1819.7624683380127,10-15s (一般)
3,请用一句话介绍你自己。,我是一名以技术为主要特点的 artificial intelligence 问题解答系统，旨在提供快速、准确和有趣的信息帮助人类。,1774599657.1037383,1774599662.130818,1774599663.4488218,1774599663.449011,1774599668.1964982,1774599668.196626,1774599688.0971837,30993.44539642334,6345.083475112915,4747.4870681762695,19900.55775642395,4747.4870681762695,>30s (极慢)
4,一加一等于几？,一加一就是两。,1774599693.900713,1774599698.932321,1774599700.20093,1774599700.2010913,1774599701.7327683,1774599701.7328792,1774599704.6335907,10732.877731323242,6300.217151641846,1531.677007675171,2900.7115364074707,1531.677007675171,10-15s (一般)
5,一百减去二十五等于多少？,一 hundred 减去 twenty-five 等于 seventy-five。,1774599708.23572,1774599713.2628922,1774599714.5754318,1774599714.575606,1774599716.7998557,1774599716.7999754,1774599729.5005062,21264.78624343872,6339.711904525757,2224.2496013641357,12700.530767440796,2224.2496013641357,15-30s (较慢)
6,如果我有三个苹果，吃了一个还剩几个？,三个苹果 - 一只吃掉了一个 = 三个苹果。,1774599732.7024343,1774599737.731959,1774599739.1960068,1774599739.1961703,1774599741.7996328,1774599741.7997622,1774599748.9003887,16197.954416275024,6493.572473526001,2603.4624576568604,7100.626468658447,2603.4624576568604,15-30s (较慢)
7,先说一，再说二，最后再说三。,我可以尝试解释这句谚语的意思，让你在了解后再给你一个具体答案。,1774599753.303009,1774599758.3308823,1774599759.5924916,1774599759.5926547,1774599763.6595943,1774599763.659723,1774599774.160702,20857.69295692444,6289.482593536377,4066.93959236145,10500.978946685791,4066.93959236145,15-30s (较慢)
8,把你好，倒过来读。,我能提供的信息很少，所以只能说出“我好”。,1774599776.9623334,1774599781.9917326,1774599783.258508,1774599783.2586796,1774599786.151446,1774599786.1515613,1774599794.5531693,17590.83580970764,6296.1745262146,2892.7664756774902,8401.607990264893,2892.7664756774902,15-30s (较慢)
9,天空是什么颜色？,天空呈白色。,1774599798.7557456,1774599803.7826102,1774599805.1624897,1774599805.1627083,1774599806.6369903,1774599806.6371038,1774599809.1377888,10382.04312324524,6406.744003295898,1474.2820262908936,2500.684976577759,1474.2820262908936,10-15s (一般)
10,鱼生活在水里还是土里？,鱼生活在水里。,1774599812.3396697,1774599817.371197,1774599818.6046855,1774599818.6048872,1774599820.2107868,1774599820.2109144,1774599822.911558,10571.888208389282,6265.0158405303955,1605.8995723724365,2700.643539428711,1605.8995723724365,10-15s (一般)
11,水的沸点是多少度？,水的沸点约为100摄氏度。,1774599824.6124778,1774599829.639711,1774599830.9239786,1774599830.9241714,1774599833.422192,1774599833.4222991,1774599838.5233622,13910.884380340576,6311.500787734985,2498.020648956299,5101.063013076782,2498.020648956299,10-15s (一般)
12,请列出五种哺乳动物。,"以下是五种哺乳动物：

1. 人
2. 牛
3.羊
4.牛羊 hybrids（牛和羊的混 breed）
5.母鸡",1774599841.5251794,1774599846.5563676,1774599847.8990202,1774599847.8992014,1774599853.359028,1774599853.3591642,1774599871.0600574,29534.87801551819,6373.840808868408,5459.826707839966,17700.89316368103,5459.826707839966,15-30s (较慢)
13,给我讲一个笑话。,"有一个老人喜欢看电影，发现一部电影中一位主角在跳舞时，老人想起了自己的青春时期，突然感到很好奇。于是，他决定去看这部电影，以试图了解一下这个角色。

当他看完电影后，他意识到自己是在观看一个老年人的模仿。于是，他开始怀疑自己是否也曾经跳舞过。最终，他发现出于自我保护和担心，才不会让人误以为他是真正的金曲王子。",1774599877.7644303,1774599882.79206,1774599884.070277,1774599884.071175,1774599899.158522,1774599899.1586597,1774599946.5928648,68828.43446731567,6305.846691131592,15087.34679222107,47434.20505523682,15087.34679222107,>30s (极慢)
14,用一句话形容夏天。,夏天温暖而干燥，阳光 chiếu亮，炎热和湿度的变化激活各种生长。,1774599954.3979287,1774599959.423962,1774599960.7580166,1774599960.7583191,1774599964.9705544,1774599964.9706826,1774599972.375628,17977.699279785156,6360.087871551514,4212.23521232605,7404.945373535156,4212.23521232605,15-30s (较慢)
15,给我起个英文名。,我可以给你一个昵称。选择是不是很重要吗？,1774599974.577224,1774599979.6069913,1774599981.0481637,1774599981.048447,1774599983.8273163,1774599983.8274243,1774599992.1291482,17551.924228668213,6470.939636230469,2778.869390487671,8301.723957061768,2778.869390487671,15-30s (较慢)
16,写一首关于月亮的五言绝句。,"月亮升起，天空静止。
白光 dances，心情平衡。
月子温暖，夜晚安详。
月亮的照射，心灵释放。",1774599998.733272,1774600003.7600927,1774600005.1907344,1774600005.1910672,1774600010.905076,1774600010.9051983,1774600026.4060023,27672.730207443237,6457.462310791016,5714.008808135986,15500.80394744873,5714.008808135986,15-30s (较慢)
17,推荐一部好看的电影。,我建议你看《Gravity》(2013)，是一部高浓度、低调且动作惊心的科幻片，由斯科特·德利和科伊·斯皮尔曼执导。该片将您带到太阳和宇宙的边缘。它是第一个在太空上飞行的场景，展现了 astronauts 的紧张与自由感，非常经典且动作惊心。,1774600028.1069376,1774600033.1355133,1774600034.484493,1774600034.487395,1774600048.028453,1774600048.028598,1774600085.2294686,57122.530937194824,6377.555370330811,13541.05806350708,37200.870513916016,13541.05806350708,>30s (极慢)
18,简单介绍一下人工智能。,"人工智能（Artificial Intelligence，简称AI）是指使用计算机和ificial inteligence (KI) 的技术，能够模拟人类的智力运作、学习和决策能力。它可以被应用于各种领域，包括人与机器交互、自动化、数据分析等方面。

人工智能通过使用算法、模型、数据等技术来实现的目标是：

1. 智能化：让机器能够处理大型数据、识别模式和做出决策。
2. 自主学习：允许机器能够学习从经验中 rút出合适的结论和做出有针对性的决定。
3. 解释和理解：帮助机器能够理解和解读人类的信息。

人工智能在日常生活中已经出现了许多应用，如 Siri、Google Assistant、 facial recognition ระบบ等。然而，人工智能也面临着一些挑战，例如数据安全性、伦理问题等。",1774600087.1305666,1774600092.1603394,1774600093.7152538,1774600093.715412,1774600119.91194,1774600119.9120984,1774600132.2198594,45089.292764663696,6584.687232971191,26196.52819633484,12307.760953903198,26196.52819633484,>30s (极慢)
19,请重复我说的内容，a b c。,I can't fulfill that request.,1774600138.0233626,1774600143.0507884,1774600144.5330331,1774600144.5333054,1774600146.2717052,1774600146.271826,1774600157.473915,19450.552463531494,6509.6704959869385,1738.3997440338135,11202.089071273804,1738.3997440338135,15-30s (较慢)
20,请重复我说的内容：一二三。,"我没有任何的信息或提示，可以进行以下反馈：

1. 我们可能有 misunderstandings。
2. 交流不明确。
3. 需要更多的信息以确定问题。",1774600158.874695,1774600163.903752,1774600165.2713556,1774600165.2715158,1774600171.2007525,1774600171.2008843,1774600195.9021995,37027.504444122314,6396.660566329956,5929.236650466919,24701.31516456604,5929.236650466919,>30s (极慢)
